Well_position	index
A1	iTRU1A01
C1	iTRU1A02
E1	iTRU1A03
G1	iTRU1A04
I1	iTRU1A05
K1	iTRU1A06
M1	iTRU1A07
O1	iTRU1A08
A3	iTRU1A09
C3	iTRU1A10
E3	iTRU1A11
G3	iTRU1A12
I3	iTRU1A13
K3	iTRU1A14
M3	iTRU1A15
O3	iTRU1A16
A5	iTRU1A17
C5	iTRU1A18
E5	iTRU1A19
G5	iTRU1A20
I5	iTRU1A21
K5	iTRU1A22
M5	iTRU1A23
O5	iTRU1A24
A7	iTRU1A25
C7	iTRU1A26
E7	iTRU1A27
G7	iTRU1A28
I7	iTRU1A29
K7	iTRU1A30
M7	iTRU1A31
O7	iTRU1A32
A9	iTRU1A33
C9	iTRU1A34
E9	iTRU1A35
G9	iTRU1A36
I9	iTRU1A37
K9	iTRU1A38
M9	iTRU1A39
O9	iTRU1A40
A11	iTRU1A41
C11	iTRU1A42
E11	iTRU1A43
G11	iTRU1A44
I11	iTRU1A45
K11	iTRU1A46
M11	iTRU1A47
O11	iTRU1A48
A13	iTRU1A49
C13	iTRU1A50
E13	iTRU1A51
G13	iTRU1A52
I13	iTRU1A53
K13	iTRU1A54
M13	iTRU1A55
O13	iTRU1A56
A15	iTRU1A57
C15	iTRU1A58
E15	iTRU1A59
G15	iTRU1A60
I15	iTRU1A61
K15	iTRU1A62
M15	iTRU1A63
O15	iTRU1A64
A17	iTRU1A65
C17	iTRU1A66
E17	iTRU1A67
G17	iTRU1A68
I17	iTRU1A69
K17	iTRU1A70
M17	iTRU1A71
O17	iTRU1A72
A19	iTRU1A73
C19	iTRU1A74
E19	iTRU1A75
G19	iTRU1A76
I19	iTRU1A77
K19	iTRU1A78
M19	iTRU1A79
O19	iTRU1A80
A21	iTRU1A81
C21	iTRU1A82
E21	iTRU1A83
G21	iTRU1A84
I21	iTRU1A85
K21	iTRU1A86
M21	iTRU1A87
O21	iTRU1A88
A23	iTRU1A89
C23	iTRU1A90
E23	iTRU1A91
G23	iTRU1A92
I23	iTRU1A93
K23	iTRU1A94
M23	iTRU1A95
O23	iTRU1A96
A2	iTRU3C01
C2	iTRU3C02
E2	iTRU3C03
G2	iTRU3C04
I2	iTRU3C05
K2	iTRU3C06
M2	iTRU3C07
O2	iTRU3C08
A4	iTRU3C09
C4	iTRU3C10
E4	iTRU3C11
G4	iTRU3C12
I4	iTRU3C13
K4	iTRU3C14
M4	iTRU3C15
O4	iTRU3C16
A6	iTRU3C17
C6	iTRU3C18
E6	iTRU3C19
G6	iTRU3C20
I6	iTRU3C21
K6	iTRU3C22
M6	iTRU3C23
O6	iTRU3C24
A8	iTRU3C25
C8	iTRU3C26
E8	iTRU3C27
G8	iTRU3C28
I8	iTRU3C29
K8	iTRU3C30
M8	iTRU3C31
O8	iTRU3C32
A10	iTRU3C33
C10	iTRU3C34
E10	iTRU3C35
G10	iTRU3C36
I10	iTRU3C37
K10	iTRU3C38
M10	iTRU3C39
O10	iTRU3C40
A12	iTRU3C41
C12	iTRU3C42
E12	iTRU3C43
G12	iTRU3C44
I12	iTRU3C45
K12	iTRU3C46
M12	iTRU3C47
O12	iTRU3C48
A14	iTRU3C49
C14	iTRU3C50
E14	iTRU3C51
G14	iTRU3C52
I14	iTRU3C53
K14	iTRU3C54
M14	iTRU3C55
O14	iTRU3C56
A16	iTRU3C57
C16	iTRU3C58
E16	iTRU3C59
G16	iTRU3C60
I16	iTRU3C61
K16	iTRU3C62
M16	iTRU3C63
O16	iTRU3C64
A18	iTRU3C65
C18	iTRU3C66
E18	iTRU3C67
G18	iTRU3C68
I18	iTRU3C69
K18	iTRU3C70
M18	iTRU3C71
O18	iTRU3C72
A20	iTRU3C73
C20	iTRU3C74
E20	iTRU3C75
G20	iTRU3C76
I20	iTRU3C77
K20	iTRU3C78
M20	iTRU3C79
O20	iTRU3C80
A22	iTRU3C81
C22	iTRU3C82
E22	iTRU3C83
G22	iTRU3C84
I22	iTRU3C85
K22	iTRU3C86
M22	iTRU3C87
O22	iTRU3C88
A24	iTRU3C89
C24	iTRU3C90
E24	iTRU3C91
G24	iTRU3C92
I24	iTRU3C93
K24	iTRU3C94
M24	iTRU3C95
O24	iTRU3C96
B1	iTRUE5E01
D1	iTRUE5E02
F1	iTRUE5E03
H1	iTRUE5E04
J1	iTRUE5E05
L1	iTRUE5E06
N1	iTRUE5E07
P1	iTRUE5E08
B3	iTRUE5E09
D3	iTRUE5E10
F3	iTRUE5E11
H3	iTRUE5E12
J3	iTRUE5E13
L3	iTRUE5E14
N3	iTRUE5E15
P3	iTRUE5E16
B5	iTRUE5E17
D5	iTRUE5E18
F5	iTRUE5E19
H5	iTRUE5E20
J5	iTRUE5E21
L5	iTRUE5E22
N5	iTRUE5E23
P5	iTRUE5E24
B7	iTRUE5E25
D7	iTRUE5E26
F7	iTRUE5E27
H7	iTRUE5E28
J7	iTRUE5E29
L7	iTRUE5E30
N7	iTRUE5E31
P7	iTRUE5E32
B9	iTRUE5E33
D9	iTRUE5E34
F9	iTRUE5E35
